Typhoon Name,Year,Region,Province,City/Municipality,Families,Person,Brgy,Dead,Injured/Ill,Missing,Totally,Partially,Total,Quantity,Cost,Nearest_Station,Station_Province,Distance_km,PAR_START,PAR_END,Duration_in_PAR_Hours,Max_Sustained_Wind_kph,Typhoon_Type,Max_24hr_Rainfall_mm,Total_Storm_Rainfall_mm,Min_Pressure_hPa,Weather_Station_Mapped,Weather_Records_Found,Weather_Days_Covered
BETTY,2023,2,BATANES,BASCO,3608.0,11120.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3608.0,2646179.36,BASCO,BATANES,2.4975035611784056,2023-05-27,2023-06-01,133.0,195,STY,25.6,39.0,977.1,1,6,6
BETTY,2023,2,BATANES,ITBAYAT,968.0,3028.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,494592.0,ITBAYAT,BATANES,3.204942956938694,2023-05-27,2023-06-01,133.0,195,STY,20.3,32.71,1000.5,1,6,6
BETTY,2023,2,BATANES,IVANA,444.0,1532.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,227328.0,BASCO,BATANES,9.47055373163546,2023-05-27,2023-06-01,133.0,195,STY,25.6,39.0,977.1,1,6,6
BETTY,2023,2,BATANES,MAHATAO,575.0,1792.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,291082.96,BASCO,BATANES,4.890815626515307,2023-05-27,2023-06-01,133.0,195,STY,25.6,39.0,977.1,1,6,6
BETTY,2023,2,BATANES,SABTANG,575.0,1955.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,296521.75,BASCO,BATANES,19.89123103245572,2023-05-27,2023-06-01,133.0,195,STY,25.6,39.0,977.1,1,6,6
BETTY,2023,2,BATANES,UYUGAN,433.0,1464.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,294400.0,BASCO,BATANES,8.64408069177196,2023-05-27,2023-06-01,133.0,195,STY,25.6,39.0,977.1,1,6,6
HENRY,2022,2,BATANES,BASCO,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASCO,BATANES,2.4975035611784056,2022-08-31,2022-09-04,80.2,195,STY,85.4,139.60000000000002,994.2,1,5,5
JENNY,2023,2,BATANES,BASCO,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.93,BASCO,BATANES,2.4975035611784056,2023-09-29,2023-10-06,146.7,175,TY,134.0,224.20000000000002,998.9,1,8,8
JENNY,2023,2,BATANES,ITBAYAT,6.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3072.0,ITBAYAT,BATANES,3.204942956938694,2023-09-29,2023-10-06,146.7,175,TY,273.0,355.79999999999995,1000.6,1,8,8
JENNY,2023,2,BATANES,SABTANG,0.0,139.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,51739.38,BASCO,BATANES,19.89123103245572,2023-09-29,2023-10-06,146.7,175,TY,134.0,224.20000000000002,998.9,1,8,8
KIKO,2021,2,BATANES,BASCO,3043.0,10656.0,6.0,0.0,0.0,0.0,171.0,1247.0,1418.0,5166.0,13757200.0,BASCO,BATANES,2.4975035611784056,2021-09-07,2021-09-12,116.0,215,STY,420.7,604.9,927.9,1,6,6
KIKO,2021,2,BATANES,ITBAYAT,977.0,2985.0,5.0,0.0,0.0,0.0,11.0,174.0,185.0,977.0,488500.0,ITBAYAT,BATANES,3.204942956938694,2021-09-07,2021-09-12,116.0,215,STY,510.0,688.2,,1,6,6
KIKO,2021,2,BATANES,IVANA,441.0,1609.0,4.0,0.0,3.0,0.0,15.0,190.0,205.0,575.0,890500.0,BASCO,BATANES,9.47055373163546,2021-09-07,2021-09-12,116.0,215,STY,420.7,604.9,927.9,1,6,6
KIKO,2021,2,BATANES,MAHATAO,517.0,1792.0,4.0,0.0,2.0,0.0,22.0,87.0,109.0,823.0,1788500.0,BASCO,BATANES,4.890815626515307,2021-09-07,2021-09-12,116.0,215,STY,420.7,604.9,927.9,1,6,6
KIKO,2021,2,BATANES,SABTANG,575.0,1968.0,6.0,0.0,5.0,0.0,25.0,211.0,236.0,575.0,287500.0,BASCO,BATANES,19.89123103245572,2021-09-07,2021-09-12,116.0,215,STY,420.7,604.9,927.9,1,6,6
KIKO,2021,2,BATANES,UYUGAN,450.0,1558.0,4.0,0.0,17.0,0.0,21.0,151.0,172.0,873.0,2340000.0,BASCO,BATANES,8.64408069177196,2021-09-07,2021-09-12,116.0,215,STY,420.7,604.9,927.9,1,6,6
MARING,2021,2,BATANES,BASCO,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASCO,BATANES,2.4975035611784056,2021-10-07,2021-10-12,118.0,100,STS,81.4,152.1,986.0,1,6,6
BETTY,2023,2,CAGAYAN,CALAYAN,380.0,1195.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,491042.3,CALAYAN,CAGAYAN,3.9256751233842966,2023-05-27,2023-06-01,133.0,195,STY,51.7,110.31000000000002,996.5,1,6,6
BETTY,2023,2,CAGAYAN,GONZAGA,111.0,410.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,555842.3,APARRI,CAGAYAN,52.36313462232162,2023-05-27,2023-06-01,133.0,195,STY,14.4,35.1,996.6,1,6,6
BETTY,2023,2,CAGAYAN,RIZAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,482212.5,TUGUEGARAO,CAGAYAN,43.1918957089868,2023-05-27,2023-06-01,133.0,195,STY,3.4,3.6299999999999994,997.1,1,6,6
BETTY,2023,2,CAGAYAN,SANTA ANA,162.0,503.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,576722.3,APARRI,CAGAYAN,65.83345146295328,2023-05-27,2023-06-01,133.0,195,STY,14.4,35.1,996.6,1,6,6
BETTY,2023,2,CAGAYAN,SANTA TERESITA,9.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17167.5,APARRI,CAGAYAN,31.270818288418305,2023-05-27,2023-06-01,133.0,195,STY,14.4,35.1,996.6,1,6,6
FLORITA,2022,2,CAGAYAN,ABULUG,16.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APARRI,CAGAYAN,22.685925482362137,2022-08-21,2022-08-24,74.0,110,STS,50.4,99.31,991.1,1,4,4
FLORITA,2022,2,CAGAYAN,ALLACAPAN,7.0,20.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5000.0,APARRI,CAGAYAN,17.431435785945638,2022-08-21,2022-08-24,74.0,110,STS,50.4,99.31,991.1,1,4,4
FLORITA,2022,2,CAGAYAN,AMULUNG,7.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TUGUEGARAO,CAGAYAN,23.45790751390724,2022-08-21,2022-08-24,74.0,110,STS,146.0,234.5,989.1,1,4,4
FLORITA,2022,2,CAGAYAN,APARRI,102.0,355.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APARRI,CAGAYAN,0.1319545570214243,2022-08-21,2022-08-24,74.0,110,STS,50.4,99.31,991.1,1,4,4
FLORITA,2022,2,CAGAYAN,BAGGAO,1655.0,4982.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,1736375.0,TUGUEGARAO,CAGAYAN,35.84262703040968,2022-08-21,2022-08-24,74.0,110,STS,146.0,234.5,989.1,1,4,4
FLORITA,2022,2,CAGAYAN,BALLESTEROS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0,0.0,APARRI,CAGAYAN,14.143693277869955,2022-08-21,2022-08-24,74.0,110,STS,50.4,99.31,991.1,1,4,4
FLORITA,2022,2,CAGAYAN,CLAVERIA,135.0,356.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APARRI,CAGAYAN,61.74324568968202,2022-08-21,2022-08-24,74.0,110,STS,50.4,99.31,991.1,1,4,4
FLORITA,2022,2,CAGAYAN,ENRILE,1.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,TUGUEGARAO,CAGAYAN,6.917462249599953,2022-08-21,2022-08-24,74.0,110,STS,146.0,234.5,989.1,1,4,4
FLORITA,2022,2,CAGAYAN,GATTARAN,391.0,1434.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,558000.0,APARRI,CAGAYAN,40.29307183078743,2022-08-21,2022-08-24,74.0,110,STS,50.4,99.31,991.1,1,4,4
FLORITA,2022,2,CAGAYAN,GONZAGA,56.0,217.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APARRI,CAGAYAN,52.36313462232162,2022-08-21,2022-08-24,74.0,110,STS,50.4,99.31,991.1,1,4,4
FLORITA,2022,2,CAGAYAN,IGUIG,386.0,1712.0,10.0,0.0,0.0,0.0,2.0,14.0,16.0,500.0,273400.0,TUGUEGARAO,CAGAYAN,15.806836628623907,2022-08-21,2022-08-24,74.0,110,STS,146.0,234.5,989.1,1,4,4
FLORITA,2022,2,CAGAYAN,LAL LO,110.0,315.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,256000.0,APARRI,CAGAYAN,31.89656343289272,2022-08-21,2022-08-24,74.0,110,STS,50.4,99.31,991.1,1,4,4
FLORITA,2022,2,CAGAYAN,LASAM,17.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APARRI,CAGAYAN,35.12842453735578,2022-08-21,2022-08-24,74.0,110,STS,50.4,99.31,991.1,1,4,4
FLORITA,2022,2,CAGAYAN,PAMPLONA,51.0,109.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,APARRI,CAGAYAN,34.709542014694385,2022-08-21,2022-08-24,74.0,110,STS,50.4,99.31,991.1,1,4,4
FLORITA,2022,2,CAGAYAN,PENABLANCA,526.0,1732.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TUGUEGARAO,CAGAYAN,27.43257949572228,2022-08-21,2022-08-24,74.0,110,STS,146.0,234.5,989.1,1,4,4
FLORITA,2022,2,CAGAYAN,PIAT,9.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TUGUEGARAO,CAGAYAN,27.094254799469542,2022-08-21,2022-08-24,74.0,110,STS,146.0,234.5,989.1,1,4,4
FLORITA,2022,2,CAGAYAN,RIZAL,29.0,84.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,TUGUEGARAO,CAGAYAN,43.1918957089868,2022-08-21,2022-08-24,74.0,110,STS,146.0,234.5,989.1,1,4,4
FLORITA,2022,2,CAGAYAN,SANTA ANA,43.0,171.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APARRI,CAGAYAN,65.83345146295328,2022-08-21,2022-08-24,74.0,110,STS,50.4,99.31,991.1,1,4,4
FLORITA,2022,2,CAGAYAN,SANTA PRAXEDES,40.0,122.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APARRI,CAGAYAN,70.4756287386241,2022-08-21,2022-08-24,74.0,110,STS,50.4,99.31,991.1,1,4,4
FLORITA,2022,2,CAGAYAN,SANTO NINO,23.0,74.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10000.0,TUGUEGARAO,CAGAYAN,41.52522939330027,2022-08-21,2022-08-24,74.0,110,STS,146.0,234.5,989.1,1,4,4
FLORITA,2022,2,CAGAYAN,SOLANA,30.0,106.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TUGUEGARAO,CAGAYAN,10.801831390031252,2022-08-21,2022-08-24,74.0,110,STS,146.0,234.5,989.1,1,4,4
FLORITA,2022,2,CAGAYAN,TUGUEGARAO CITY,622.0,2250.0,17.0,0.0,1.0,0.0,0.0,6.0,6.0,500.0,256000.0,TUGUEGARAO,CAGAYAN,3.6175494606262433,2022-08-21,2022-08-24,74.0,110,STS,146.0,234.5,989.1,1,4,4
KARDING,2022,2,CAGAYAN,APARRI,278.0,1084.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12048.0,APARRI,CAGAYAN,0.1319545570214243,2022-09-22,2022-09-26,114.0,195,STY,25.0,57.0,1004.1,1,5,5
KIKO,2021,2,CAGAYAN,ABULUG,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APARRI,CAGAYAN,22.685925482362137,2021-09-07,2021-09-12,116.0,215,STY,40.5,55.1,1000.9,1,6,6
