Dataset,Output,MAE,MSE,RMSE
Training,Dead,0.01984599267121205,0.0030175958162177727,0.054932647999325256
Training,Injured/Ill,0.09488272823919673,0.041103812645674274,0.20274075230617616
Training,Missing,0.0004194477230014936,1.2846386027462727e-06,0.0011334189881708674
Training,Families,57.02818537132198,11301.69123446983,106.3094127275183
Testing,Dead,0.716284626929766,24.900458546585927,4.990035926382287
Testing,Injured/Ill,0.5455091225638661,5.035058375521129,2.2438935749097215
Testing,Missing,0.026504736008381786,0.055752318890599235,0.23611928953518227
Testing,Families,334.1824057763547,3712565.52173415,1926.8018895917012
