Target,Model Type,Primary Metric,Score,Secondary Metric,Secondary Score
families,Regression,R²,0.1332073688332862,RMSE,4123.545700558825
person,Regression,R²,0.13848039368375953,RMSE,16192.778073214742
brgy,Regression,R²,0.2528532422963834,RMSE,10.460480193981535
cost,Regression,R²,0.26445799904488654,RMSE,1002188.0265056131
partially,Regression,R²,0.3861207883047376,RMSE,1017.639841665979
totally,Regression,R²,0.0627285813840821,RMSE,343.77249236305084
dead,Classification,ROC-AUC,0.7167630057803468,F1-Score,0.14084507042253522
injured_ill,Classification,ROC-AUC,0.8135249101983446,F1-Score,0.24742268041237114
missing,Classification,ROC-AUC,0.18181818181818182,F1-Score,0.0
