Target,MAE,RMSE,R² (Test),R² (Train)
families,1544.3425044879484,4123.545700558825,0.1332073688332862,0.22393697810810975
person,6096.520432428028,16192.778073214742,0.13848039368375953,0.22687462850656637
brgy,6.296397022651822,10.460480193981535,0.2528532422963834,0.40994165146729167
cost,327573.57665509515,1002188.0265056131,0.26445799904488654,0.42260752530016443
partially,239.6119946365276,1017.639841665979,0.3861207883047376,0.43160756147251034
totally,63.063751131128726,343.77249236305084,0.0627285813840821,0.4519084829750586
